City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Elizabeth,ZA,-33.92,25.57,64.0,82,19,1.01,few clouds
1,Jiazi,CN,22.88,116.07,68.52,63,99,20.13,overcast clouds
2,Rikitea,PF,-23.12,-134.97,74.64,83,84,22.82,broken clouds
3,Hami,CN,42.8,93.45,46.51,52,86,8.57,overcast clouds
4,Lincoln,US,40.8,-96.67,35.6,64,90,9.17,overcast clouds
5,Asau,RO,46.43,26.4,53.01,98,100,2.53,light rain
6,Butaritari,KI,3.07,172.79,82.06,66,18,7.07,few clouds
7,Antalaha,MG,-14.9,50.28,70.57,86,2,7.27,clear sky
8,Cape Town,ZA,-33.93,18.42,61.0,93,20,3.36,few clouds
9,Torbay,CA,47.67,-52.73,48.99,93,90,27.51,overcast clouds
10,Jiayuguan,CN,39.82,98.3,40.5,59,98,3.96,overcast clouds
11,Lerwick,GB,60.15,-1.15,50.0,81,79,12.75,broken clouds
12,Yellowknife,CA,62.46,-114.35,26.6,58,40,9.17,scattered clouds
13,Poum,NC,-20.23,164.02,77.45,78,0,18.57,clear sky
14,Auki,SB,-8.77,160.7,82.45,75,12,3.13,few clouds
15,Bicas,BR,-21.73,-43.06,69.01,99,100,4.9,light rain
16,Tuktoyaktuk,CA,69.45,-133.04,15.8,92,75,4.7,broken clouds
17,Saint-Philippe,RE,-21.36,55.77,71.6,60,0,8.05,clear sky
18,Sitka,US,57.05,-135.33,42.8,52,40,0.69,scattered clouds
19,Lebu,CL,-37.62,-73.65,54.66,69,43,8.12,scattered clouds
20,Nemuro,JP,43.32,145.57,50.74,70,77,26.31,broken clouds
21,Barrow,US,71.29,-156.79,30.2,92,90,12.75,overcast clouds
22,Atuona,PF,-9.8,-139.03,78.73,74,1,22.75,clear sky
23,Ponta Do Sol,PT,32.67,-17.1,66.2,68,40,8.05,scattered clouds
24,Kieta,PG,-6.22,155.63,81.93,72,52,4.18,broken clouds
