City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Jiazi,CN,68.52,overcast clouds,22.88,116.07,Hotel Jin Hao
2,Rikitea,PF,74.64,broken clouds,-23.12,-134.97,Pension Maro'i
7,Antalaha,MG,70.57,clear sky,-14.9,50.28,Hotel Vitasoa
13,Poum,NC,77.45,clear sky,-20.23,164.02,Gîte kajeon
15,Bicas,BR,69.01,light rain,-21.73,-43.06,Hotel Água Santa
17,Saint-Philippe,RE,71.6,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
22,Atuona,PF,78.73,clear sky,-9.8,-139.03,Villa Enata
23,Ponta Do Sol,PT,66.2,scattered clouds,32.67,-17.1,Hotel do Campo
35,Puerto Ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
36,Pitimbu,BR,78.8,broken clouds,-7.47,-34.81,Reserva do Abiaí
39,Eufaula,US,70.0,light rain,31.89,-85.15,Days Inn by Wyndham Eufaula AL
40,Avarua,CK,77.0,scattered clouds,-21.21,-159.78,Paradise Inn
42,Carnarvon,AU,69.8,broken clouds,-24.87,113.63,Hospitality Carnarvon
49,Touros,BR,78.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
52,East London,ZA,69.82,clear sky,-33.02,27.91,Tu Casa
53,Bandarbeyla,SO,76.35,broken clouds,9.49,50.81,REER XOOSHLE GROUP
55,Vaini,TO,75.2,overcast clouds,-21.2,-175.2,Keleti Beach Resort
57,Yaan,NG,76.1,light rain,7.38,8.57,
58,Lagoa,PT,66.11,overcast clouds,39.05,-27.98,Casa Das Faias
59,Hambantota,LK,78.82,overcast clouds,6.12,81.12,Bungalow 63
63,Mount Isa,AU,69.8,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
65,Bluff,NZ,72.0,overcast clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
66,Souillac,MU,71.6,shower rain,-20.52,57.52,Bils' Villa
67,Sakaraha,MG,70.61,light rain,-22.9,44.53,Le Relais
70,Mataura,NZ,72.0,overcast clouds,-46.19,168.86,Ellie's Villa
71,Bushehr,IR,71.6,clear sky,28.97,50.84,Yas Hotel
73,Arraial Do Cabo,BR,69.8,moderate rain,-22.97,-42.03,Pousada Porto Praia
74,Pacific Grove,US,68.0,scattered clouds,36.62,-121.92,Lovers Point Inn
78,Teguise,ES,69.8,few clouds,29.06,-13.56,B&B La Casona de Nazaret
79,Da Nang,VN,69.8,moderate rain,16.07,108.22,Grand Mercure Danang
81,Kapit,MY,72.61,overcast clouds,2.02,112.93,Hotel Meligai Kapit
85,Puerto Del Rosario,ES,69.8,few clouds,28.5,-13.86,Hotel JM Puerto del Rosario
86,Victoria,HK,75.0,overcast clouds,22.29,114.16,Mini Hotel Central
88,Cidreira,BR,69.64,broken clouds,-30.18,-50.21,Hotel Castelo
93,Acari,PE,72.64,overcast clouds,-15.43,-74.62,Hospedaje Ximens
97,Duekoue,CI,74.62,broken clouds,6.75,-7.35,Résidence Doué
101,Salalah,OM,75.2,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
103,Alofi,NU,75.2,overcast clouds,-19.06,-169.92,Taloa Heights
104,Nortelandia,BR,76.64,light rain,-14.45,-56.8,Hotel Karysmã
107,San Patricio,US,73.99,broken clouds,28.02,-97.52,"Motel 6 Sinton, TX"
108,Castro,BR,67.93,light rain,-24.79,-50.01,CHACARA BAILLY
109,Torremolinos,ES,66.99,clear sky,36.62,-4.5,Medplaya Hotel Bali
110,Parit Buntar,MY,78.8,few clouds,5.13,100.49,K Garden Hotel Parit Buntar
114,Faanui,PF,79.14,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
116,Tura,IN,70.72,light rain,25.52,90.22,Hotel RIKMAN Continental
119,Saint-Pierre,RE,68.0,clear sky,-21.34,55.48,Lindsey Hôtel
127,Port Alfred,ZA,65.8,few clouds,-33.59,26.89,The Halyards Hotel
131,Vila Velha,BR,72.0,moderate rain,-20.33,-40.29,Hotel Vitória Palace
138,Bambous Virieux,MU,71.6,shower rain,-20.34,57.76,Casa Tia Villa
142,Tuatapere,NZ,72.0,overcast clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
151,Sibu,MY,75.2,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
153,Mahebourg,MU,71.6,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
158,Marawi,PH,73.99,light rain,8.0,124.29,Derogongan Residence
161,Tsaratanana,MG,70.9,clear sky,-16.78,47.65,
164,Kasama,ZM,69.39,scattered clouds,-10.21,31.18,Kalebalika Cottages
171,San Policarpo,PH,78.85,heavy intensity rain,12.18,125.51,Zal-Ann Beach Resort
172,Rosario Oeste,BR,79.43,moderate rain,-14.84,-56.43,ARLS Cavaleiros da Fraternidade n°67
177,Chabahar,IR,73.4,clear sky,25.29,60.64,هتل گدروشیا
179,Lompoc,US,66.2,overcast clouds,34.64,-120.46,Holiday Inn Express Lompoc
180,Diu,IN,79.63,scattered clouds,20.71,70.98,Hotel Relax Inn
183,Cururupu,BR,79.41,few clouds,-1.83,-44.87,Pousada Través'cia
188,Luangwa,ZM,78.78,few clouds,-15.62,30.42,Gerasimos Safari Lodge
191,Vao,NC,73.04,broken clouds,-22.67,167.48,Hotel Kou-Bugny
193,Chuy,UY,66.92,few clouds,-33.7,-53.46,Nuevo Hotel Plaza
194,Ribeira Grande,PT,66.2,scattered clouds,38.52,-28.7,Quinta da Meia Eira
197,Belmonte,BR,77.0,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
198,Harper,LR,78.06,overcast clouds,4.38,-7.72,Screensaver
201,Beinamar,TD,78.87,broken clouds,8.67,15.38,
210,Porterville,US,75.99,clear sky,36.07,-119.02,Holiday Inn Express & Suites Porterville
211,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
212,Kadipaten,ID,76.42,broken clouds,-8.14,113.22,SPOT ON 2440 Wallet Family Residence
214,Sorong,ID,78.93,overcast clouds,-0.88,131.25,The Waigo Hotel
215,Los Llanos De Aridane,ES,73.4,overcast clouds,28.66,-17.92,Valle Aridane
222,Rio Grande,BR,70.0,scattered clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
223,Grand Gaube,MU,69.01,moderate rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
229,Poya,NC,78.01,broken clouds,-21.35,165.15,
233,Bengkulu,ID,76.28,light rain,-3.8,102.27,Grage Hotel Bengkulu
234,Arequipa,PE,68.0,clear sky,-16.4,-71.53,Casa de Avila Hotel
239,Roswell,US,71.01,thunderstorm,34.02,-84.36,La Quinta Inn & Suites by Wyndham Atlanta Roswell
242,Praia Da Vitoria,PT,66.2,broken clouds,38.73,-27.07,Hotel Branco I
